municipio,ano,num_cons_residencial,kWh_residencial,num_cons_comercial,kWh_comercial,num_cons_rural,kWh_rural,num_cons_industrial,kWh_industrial,num_cons_iluminacao_publica,kWh_iluminacao_publica,num_cons_poder_publico,kWh_poder_publico,num_cons_servico_publico,kWh_servico_publico,num_cons_consumo_proprio,kWh_consumo_proprio,num_cons_total,kWh_total
Pilar do Sul,2022,11592,19263024,985,9021802,1441,7841456,74,4330445,20,1753837,84,771135,27,1588164,2,34635,14225,44604499
Porto Feliz,2022,22477,68689598,1130,30244181,1245,17640899,106,131156382,52,4116787,209,3626749,33,4653280,4,145956,25256,260273832
Salto,2022,57322,139080765,2128,47016306,101,1945521,336,432621581,140,9986886,193,5725766,54,11862861,6,193209,60280,648432895
Salto de Pirapora,2022,20214,39961422,478,10698315,137,1475883,60,349451268,17,3693576,140,1491245,30,4094128,1,3338,21077,410869175
São Miguel Arcanjo,2022,10825,19571583,676,5796959,2166,11151248,52,2240312,30,2566976,127,824867,33,2262085,4,16950,13913,44430980
São Roque,2022,35749,86954969,1376,44467302,379,4538232,153,54906872,32,10898585,249,3716828,62,6354138,3,50716,38003,211887642
Sarapuí,2022,4779,8144701,190,1671442,493,4976089,20,6719831,1,1289434,49,310776,18,1149223,3,18732,5553,24280228
Sorocaba,2022,311366,740048109,13089,424373198,256,4987543,1192,923568768,327,49480796,1011,28780527,127,60150262,28,861139,327396,2232250342
Tapiraí,2022,3172,5134507,250,3741399,497,1370606,22,798750,4,646674,54,354545,15,596895,3,47712,4017,12691089
Tatuí,2022,51385,99948123,3831,64699563,1915,19457280,322,203916563,68,8158316,265,3693869,51,16355499,4,175800,57841,416405013
Tietê,2022,14930,31059668,1591,16971887,863,16816654,304,97197954,45,4333057,128,1326107,51,7193759,1,12612,17913,174911699
Votorantim,2022,51331,115651815,1821,41646902,25,220956,135,331946308,74,10449378,221,5230333,50,11281801,3,104299,53660,516531792
Americana,2022,110747,262773887,7120,134747058,17,182198,971,715904884,119,17067995,434,9668160,66,32519902,13,398638,119487,1173262722
Campinas,2022,478787,1160206648,33237,1124516753,720,13856006,1951,604361123,134,98691316,2115,124763246,189,27205542,45,9456266,517178,3163056900
Cosmópolis,2022,24492,51381891,961,12706744,109,2410889,84,78996570,18,4686925,160,1779793,9,5163094,1,29997,25834,157155903
Elias Fausto,2022,6392,15404117,229,4434632,320,4708146,65,61875845,3,1342411,83,843485,21,1500950,1,13228,7114,90122814
Holambra,2022,86,256603,1,2244,0,0,0,0,1,19852,2,2128,1,377629,0,0,91,658456
Hortolândia,2022,99402,221927462,3704,283705419,623,41118824,310,186656554,212,10912549,364,8542165,37,12688128,3,120802,104655,765671903
Indaiatuba,2022,109668,301033738,4846,164051995,563,9883936,870,427974494,360,27229683,472,11357025,80,42004072,12,408752,116871,983943695
Jaguariúna,2022,24857,64302546,1618,48977728,261,3784251,200,283764722,29,8814309,165,3290625,45,10021052,6,213094,27181,423168327
Monte Mor,2022,27850,60575309,713,15518077,296,6375347,112,94267674,27,5842957,128,1836022,33,4844627,3,51928,29162,189311941
Nova Odessa,2022,27753,63221010,1130,31290662,66,1064334,295,306661133,27,7444471,215,4253441,14,5587079,2,111031,29502,419633161
Paulínia,2022,45791,120897510,2320,145875068,78,1589017,218,1123725408,12,13243323,320,14400576,56,48530636,4,105617,48799,1468398155
Pedreira,2022,18042,43523997,1155,17997242,122,1601620,370,124445272,10,3539814,199,4649298,41,3130596,2,29093,19941,198916932
Alambari,2023,2677,4928375,101,1235107,117,1896886,17,1274100,9,746498,42,332071,18,429444,1,10324,2982,10852806
Alumínio,2023,5550,11818575,195,6062703,5,27684,16,4342136890,9,1355104,57,1090302,16,1100793,0,0,5848,4363592051
Araçariguama,2023,9220,21195114,360,22913058,27,176172,101,416603945,11,2017572,91,1773347,17,2109550,3,31770,9830,465832568
Araçoiaba da Serra,2023,21977,51565685,573,12753039,336,4142136,52,9130846,17,4396826,128,1123825,28,4657309,1,6918,23112,87776583
Boituva,2023,31716,78442820,1078,22122483,347,27289677,191,145135178,44,5881384,188,1965058,20,5113756,4,67191,33588,286017547
Capela do Alto,2023,9669,19462589,238,2587987,217,6218283,32,4003041,21,1814664,75,2289701,26,2903915,0,0,10278,39280179
Cerquilho,2023,18801,39958212,1576,15977400,505,4332076,240,110515397,42,4624000,125,1986444,17,4546264,1,50980,21307,181812775
Cesário Lange,2023,7333,13365957,708,16447475,924,6784169,63,25011029,15,1293824,96,852776,30,3058705,1,62400,9170,66876335
Ibiúna,2023,18804,42030048,953,18834223,432,7758599,49,33587025,7,2725488,106,1418628,24,127126773,1,37977,20376,234118760
Iperó,2023,12450,27543294,269,8207255,147,1478900,71,31366523,4,2109257,145,14415462,33,3053302,0,0,13119,88173994
Itapetininga,2023,65317,138262181,2948,54776895,1578,25253766,198,294403590,2,9394550,412,7309781,71,18641581,7,182764,70533,548225108
Itu,2023,71241,202236453,3878,114923196,311,14578542,405,267323163,110,11590712,408,8356046,99,14091367,3,96989,76455,633196467
Jumirim,2023,1084,2106293,65,503087,227,5207010,21,16587533,7,249807,31,383896,8,389688,0,0,1443,25433321
Mairinque,2023,20944,47658962,570,9312466,84,1085201,69,74853241,7,3865913,105,1239158,37,4304189,1,22544,21817,142341673
Piedade,2023,20009,34212175,1789,13922105,5383,29508566,90,6759182,16,2220831,170,1425603,37,3851751,2,102838,27496,92003051
Pilar do Sul,2023,11746,19544424,993,10476934,1423,7246467,69,5613055,20,1804033,87,831050,28,1606477,2,36582,14368,47159022
Porto Feliz,2023,23143,73480939,1250,32262770,1222,16301061,123,143049947,52,4022248,215,3994275,37,4732381,2,80370,26044,277923991
Salto,2023,59240,147775547,2286,50115276,99,2386880,358,419385106,152,10003313,227,5621804,57,12836501,2,154631,62421,648279058
Salto de Pirapora,2023,20960,42496593,513,10826041,130,1209229,59,347740552,18,3750133,143,1457679,30,5110440,1,3582,21854,412594249
São Miguel Arcanjo,2023,11101,20932290,676,5714060,2098,10916209,49,2146896,31,2585343,135,945948,34,2557240,1,15705,14125,45813690
São Roque,2023,36295,99387809,1477,46871030,374,4065467,171,54082319,27,11419405,266,3943053,65,8047290,3,83371,38678,217599764
Sarapuí,2023,4900,8654942,166,1616116,481,4696349,21,7434274,1,967979,53,333715,21,1273474,3,19129,5646,24995979
Sorocaba,2023,318969,776086932,14566,443137687,255,4953939,1282,896581913,319,48335291,1021,28423283,128,62049970,23,640380,336563,2260209394
Tapiraí,2023,3209,5256472,254,3591920,499,1410566,22,801835,3,635555,61,378281,15,665074,3,58330,4066,12798032
Tatuí,2023,53123,103584830,3820,57646315,1913,18591165,287,212427782,67,7870545,282,4095111,52,16292156,4,191120,59548,420699026
Tietê,2023,15079,31760039,1600,17440794,854,14752308,257,97786711,39,3965919,170,1574841,57,7039055,1,13565,18057,174333233
Votorantim,2023,51923,121843976,1841,43158600,26,205906,150,306416557,77,10408348,228,5265601,53,11347088,3,107311,54301,438754388
Americana,2023,112466,276230855,7399,138728882,16,169461,1017,725151705,124,14690740,461,10509687,66,34576100,12,336195,121561,1200393624
Campinas,2023,482214,1196294595,34509,1161501121,692,13089154,2059,588063159,139,98582785,2107,128217261,183,20100192,45,10220772,521948,3216063039
Cosmópolis,2023,24762,53551011,1027,13009090,103,954518,82,90640896,18,4714962,156,1812551,9,5108522,1,37775,26158,169829326
Elias Fausto,2023,6484,16110636,230,4689365,314,4332087,68,61587298,5,1389264,95,921431,21,1523766,1,10836,7218,90564684
Holambra,2023,87,242136,0,0,0,0,0,0,1,19907,2,4076,1,20830,0,0,91,286949
Hortolândia,2023,102558,240478748,3972,330328917,625,41500449,317,192137970,231,9091795,391,9976742,37,16063887,3,104102,108134,839862610
Indaiatuba,2023,111613,317724763,5274,171085919,547,8547650,935,427177482,337,28296451,471,11878148,69,38501550,10,441776,119256,1003653738
Jaguariúna,2023,25490,68712064,1642,51027169,242,3310356,206,280178371,27,8949482,161,3682922,45,10579064,6,196994,27819,426636422
Monte Mor,2023,28462,66572716,743,16274748,278,5087918,110,97774643,30,5710131,135,2015613,32,4925755,3,55116,29793,197416639
Nova Odessa,2023,28326,67324753,1224,32849953,64,1059786,301,291383282,38,8766830,177,2813777,14,5456774,1,94758,30145,409749914
Paulínia,2023,47656,129062696,2421,171163974,74,1292220,220,1035386523,11,10688018,401,15138016,55,49305843,4,97172,50842,1412483463
Pedreira,2023,18208,45626061,1148,18506091,126,1709743,369,121877756,10,3507906,199,5360065,41,2993174,2,29381,20103,198610178
Alambari,2024,2787,5395284,95,1175886,118,1715780,14,1329317,10,663192,44,363141,18,292979,1,11492,3087,10947071
Alumínio,2024,5562,11988602,196,7572816,5,28033,22,5129140151,10,1376813,62,1220745,17,1043049,0,0,5874,5152370209
